image_name,frame_idx,person_idx,label,detection_conf,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_w,bbox_h,bbox_cx,bbox_cy,aspect_ratio,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf
person_0_0.jpg,0,0,caregiver,0.8933193,1746.8845,77.46963,3153.1511,1781.7845,1406.2666,1704.315,2450.0178,929.6271,0.82512134,2282.1057,447.30112,0.93844306,2300.3872,366.96634,0.9406724,2226.548,397.00113,0.7321863,2439.58,286.08054,0.90708506,2261.4294,365.38214,0.36683792,2688.6362,508.8423,0.9928738,2395.1382,547.093,0.95965403,2556.1013,1006.38196,0.9820403,2299.2144,968.74164,0.81672686,2134.6208,1336.392,0.949579,2008.1462,1161.2322,0.7686274,2938.2786,1264.3441,0.97478986,2702.4397,1251.5356,0.9440399,2879.9487,1845.0901,0.8431282,2467.551,1736.2185,0.69577,3063.7378,2160,0.48391736,2436.4038,1921.3384,0.3585055
person_1_0.jpg,1,0,patient,0.90502155,1174.3729,735.61975,2618.1338,2159.2583,1443.7609,1423.6385,1896.2534,1447.439,1.0141344,1984.9586,959.6383,0.95043725,2031.6516,918.50586,0.9637584,1963.913,915.9338,0.8024356,2146.237,965.77625,0.916789,1942.8018,962.1654,0.25294372,2349.0378,1275.0927,0.99534035,1827.2426,1233.7019,0.99011683,2537.2566,1632.6228,0.992133,1601.7139,1489.5181,0.94916415,2257.4854,1883.463,0.9822656,1512.7461,1722.7686,0.9235661,2158.957,1952.5652,0.98007965,1802.4557,1909.8373,0.97020245,1975.2161,2081.803,0.7689641,1421.3032,2039.9617,0.61924577,1919.3846,2160,0.38308236,1383.1138,2160,0.26718614
person_1_1.jpg,1,1,caregiver,0.84613216,845.76465,106.3552,1964.0537,2124.9807,1118.2891,2018.6255,1404.9092,1115.668,0.5539854,1751.2435,475.60052,0.94769996,1803.6344,427.107,0.7049406,1712.6279,403.73334,0.95887494,1816.5175,404.58,0.19280326,1580.9309,337.14236,0.94134,1692.2911,613.0192,0.97843003,1354.0634,542.46094,0.9961859,1747.191,1052.2885,0.7656817,1438.8087,1016.4189,0.9826398,1873.948,1118.9895,0.7169181,1829.9207,1157.1492,0.94801474,1336.5653,1364.3534,0.96679616,1089.008,1339.8087,0.9861643,1405.8679,1972.193,0.75467265,1151.2073,1957.1094,0.8929254,1276.2499,2160,0.41065904,993.24677,2160,0.6036295
person_2_0.jpg,2,0,patient,0.89153874,1318.729,855.8953,2607.4858,2160,1288.7568,1304.1047,1963.1074,1507.9476,0.98823106,1959.1655,1077.9082,0.9549874,2024.6661,1034.9663,0.96903944,1941.7675,1021.7557,0.80009115,2162.3025,1075.672,0.92507344,1937.1521,1041.7089,0.22909033,2334.216,1394.7563,0.99404275,1837.1891,1309.1875,0.9825365,2506.5745,1795.0931,0.98969865,1674.301,1565.8605,0.8878052,2220.3655,2006.6742,0.9802283,1677.2626,1673.9613,0.8694724,2120.7305,2090.4941,0.9682803,1798.7651,2029.5952,0.94264567,1804.5658,2160,0.7519686,1488.3749,2149.0833,0.55144227,1721.2789,2160,0.37802914,1567.3094,2160,0.24007306
person_2_1.jpg,2,1,caregiver,0.86675256,950.3865,181.60732,1937.2095,2125.83,986.823,1944.2228,1443.798,1153.7188,0.5075668,1742.8431,557.6605,0.9539056,1786.8424,500.40823,0.7813655,1687.587,491.42966,0.96407044,1824.2919,475.05728,0.20520687,1540.3857,441.15576,0.92948204,1802.9888,684.44434,0.9710284,1293.3878,665.3089,0.99501246,1878.2625,1109.0963,0.7976413,1293.161,1149.7394,0.98452264,1803.4971,1266.3219,0.7675649,1748.0392,1329.6022,0.959,1606.5491,1507.5118,0.95123994,1243.888,1507.2598,0.9804555,1570.4928,2129.691,0.6231129,1116.822,2135.8035,0.8135148,1507.1211,2160,0.21506721,1064.2758,2160,0.37328
person_3_0.jpg,3,0,caregiver,0.8470956,881.49963,425.39746,1842.8497,2128.6921,961.3501,1703.2947,1362.1747,1277.0448,0.5644062,1364.6218,828.04785,0.96209085,1394.703,757.5508,0.8593062,1293.993,773.67535,0.9651902,1453.261,686.9712,0.32065064,1171.8923,722.12366,0.91703486,1558.5463,854.33484,0.98355895,1036.0493,936.30334,0.9959378,1754.0364,1230.8408,0.8496128,1121.6144,1429.0234,0.9800136,1710.0331,1436.1588,0.77949274,1469.1841,1579.7509,0.9437494,1526.537,1658.8192,0.9575552,1173.8606,1707.6584,0.9804113,1585.0259,2099.467,0.5737719,1191.5226,2151.233,0.75936544,1434.0479,2160,0.22400123,1152.1405,2160,0.36655742
person_3_1.jpg,3,1,patient,0.80986094,1193.0737,989.06384,2574.3882,2160,1381.3145,1170.9362,1883.731,1574.532,1.1796668,1889.0769,1233.2622,0.9710115,1946.8606,1186.1819,0.97959167,1858.8536,1188.3726,0.87478364,2088.9353,1228.6791,0.94324136,1848.2865,1235.9717,0.33488628,2281.5444,1549.3572,0.9954951,1780.0667,1494.0581,0.98924315,2440.2468,1909.296,0.98886526,1543.3245,1684.2327,0.9185209,2242.9644,2101.1646,0.9764603,1570.9099,1694.4485,0.8895413,2065.4487,2160,0.95283145,1745.6727,2155.6448,0.92553186,1801.2958,2149.0874,0.5860557,1449.079,2096.978,0.40187076,1628.0544,2160,0.22088563,1453.9176,2160,0.14217135
person_4_0.jpg,4,0,patient,0.87798804,848.99524,433.16995,2586.5698,2135.829,1737.5746,1702.6592,1717.7825,1284.4995,1.0205064,1866.8234,906.53326,0.96066654,1986.6782,808.9574,0.9460261,1748.8844,813.08264,0.9509187,2143.9233,902.3692,0.71602154,1568.7532,903.76666,0.739557,2384.3027,1506.2618,0.8889394,1286.6642,1488.2913,0.90454286,2495.5698,2160,0.37366784,1069.2102,2160,0.4047081,2271.844,2160,0.24970892,1243.4855,2160,0.26560286,2138.2732,2160,0.10478443,1491.3871,2160,0.108100116,1989.9563,2097.9185,0.025130302,1438.544,1908.2695,0.025197,2098.3225,2108.222,0.016213775,2097.98,1755.7113,0.016449183
person_4_1.jpg,4,1,caregiver,0.54792666,833.39606,694.0306,1663.2598,2128.6536,829.8637,1434.623,1248.3279,1411.342,0.5784542,1596.6661,1179.962,0.91577727,1634.5356,1098.0469,0.7525654,1505.1385,1115.5092,0.9543959,1679.513,1111.0327,0.17512777,1325.2548,1151.1595,0.90579706,1772.4418,1516.0875,0.6469547,1165.3737,1555.1948,0.93069375,1778.1478,2024.6616,0.06264296,1044.0458,2048.9102,0.63513905,1442.8726,2121.3079,0.047818393,1100.0897,2094.822,0.3720479,1703.4985,2160,0.06503379,1307.0024,2160,0.17023748,1692.9764,2160,0.008964032,1234.3368,2160,0.026979387,1523.0045,2160,0.008139879,1270.7444,2160,0.019002408
person_5_0.jpg,5,0,patient,0.9066763,71.179504,314.5705,3458.4622,2149.8613,3387.2827,1835.2908,1764.8208,1232.216,1.8456382,1961.965,718.0926,0.9781179,2073.334,654.4663,0.94944614,1851.6482,645.7836,0.97368467,2194.62,803.5146,0.6851364,1651.9957,784.1088,0.84623635,2487.0913,1386.2437,0.9282694,1286.818,1359.8936,0.96542066,3135.3386,2033.7418,0.48046976,553.2735,1914.0725,0.70692617,3030.6135,2155.2688,0.3572996,151.48795,2111.4238,0.5372732,2219.989,2160,0.1999112,1558.0938,2160,0.2640146,2197.412,1952.4417,0.034900904,1773.0466,1917.9528,0.046296835,2121.1377,1848.668,0.0197559,2426.5564,1766.1858,0.023343712
